ID,Name,Age,Salary,Experience,Address,Salary_Duplicate,Gender,Random_Text,Purchase
249,David,,,,"456 Avenue, CA",,,Extra info,Yes
250,Frank,,,,"123 Street, NY",,,Lorem ipsum,Yes
251,Grace,,,,"303 Lane, CO",,Male,Something here,Yes
252,Bob,,,,"101 Blvd, FL",,Male,Random data,Yes
253,Charlie,,,,,,Female,,Yes
254,Alice,,,,"101 Blvd, FL",,Female,Lorem ipsum,Yes
255,Eve,,,2,"789 Road, TX",,,,No
256,Alice,,,,"789 Road, TX",,Male,More text,No
257,Alice,,,,"456 Avenue, CA",,Female,Something here,Yes
258,Charlie,,,,"101 Blvd, FL",,Female,,Yes
259,Alice,,,,,,,,No
260,Bob,,,,"789 Road, TX",,Female,More text,No
261,Bob,,,,"101 Blvd, FL",,,Lorem ipsum,Yes
262,David,,,,"101 Blvd, FL",,Female,Random data,No
263,Frank,,,,"789 Road, TX",,Male,More text,No
264,Grace,,,,"101 Blvd, FL",,Female,Something here,No
265,Eve,,,,"789 Road, TX",,,Extra info,No
266,Alice,,,,,,Male,Extra info,No
267,Alice,,,,,,Female,More text,No
268,Charlie,,,,"202 Drive, WA",,,Random data,Yes
269,Frank,,,,"789 Road, TX",,Female,,Yes
270,Bob,59,,,"101 Blvd, FL",,,Lorem ipsum,No
271,Eve,,,,"202 Drive, WA",,,Something here,No
272,David,,,,,,,More text,Yes
273,Bob,,,,"101 Blvd, FL",,Female,Something here,No
274,Frank,28,,,"101 Blvd, FL",,Female,Random data,No
275,Grace,,,,"202 Drive, WA",,,Extra info,No
276,David,,35000,,"303 Lane, CO",35000,,Lorem ipsum,No
277,Grace,,,,"456 Avenue, CA",,,Extra info,No
278,Charlie,,,,"202 Drive, WA",,,Lorem ipsum,Yes
279,Charlie,,,,,,,Extra info,Yes
280,Alice,,,,"303 Lane, CO",,,More text,No
281,Grace,,,,"303 Lane, CO",,,Random data,No
282,Frank,,75000,,"101 Blvd, FL",75000,,Extra info,No
283,Eve,,,,"101 Blvd, FL",,Female,Random data,No
284,David,,,,,,Male,Extra info,No
285,Bob,,,,"456 Avenue, CA",,Male,Something here,No
286,Frank,,,,"202 Drive, WA",,Female,Extra info,Yes
287,Frank,,,,"789 Road, TX",,,Lorem ipsum,Yes
288,Charlie,,,,"101 Blvd, FL",,Female,Something here,Yes
289,Grace,,,,"202 Drive, WA",,,More text,Yes
290,Alice,,,,"123 Street, NY",,Male,More text,Yes
291,Alice,,,,"101 Blvd, FL",,Female,More text,Yes
292,David,,,,"789 Road, TX",,Male,Random data,No
293,Charlie,,,,"101 Blvd, FL",,Female,,Yes
294,Frank,,,,"303 Lane, CO",,Female,,Yes
295,Eve,,,,"202 Drive, WA",,Male,More text,No
296,Charlie,,,,"456 Avenue, CA",,Male,Extra info,Yes
297,David,,,,"123 Street, NY",,Male,Something here,Yes
298,David,,,,"789 Road, TX",,,Lorem ipsum,No
299,Charlie,,,,,,Male,,No
300,David,,,,"101 Blvd, FL",,Male,More text,Yes
301,Charlie,,,,"789 Road, TX",,Male,Lorem ipsum,No
302,Bob,,,,"456 Avenue, CA",,Female,Random data,No
303,Charlie,,,,"123 Street, NY",,,,Yes
304,Grace,,,,"789 Road, TX",,Female,,No
305,Charlie,,,18,"202 Drive, WA",,,Random data,No
306,David,,,,"202 Drive, WA",,Male,,No
307,Grace,,,,"789 Road, TX",,Female,Lorem ipsum,Yes
308,David,,,,"123 Street, NY",,Female,Extra info,Yes
309,Alice,,,,"101 Blvd, FL",,,Lorem ipsum,Yes
310,Alice,,,,"202 Drive, WA",,,Something here,No
311,Grace,,,,"101 Blvd, FL",,Male,More text,Yes
312,Bob,,,,"101 Blvd, FL",,Male,Extra info,No
313,Alice,,,,"789 Road, TX",,Male,Lorem ipsum,No
314,Charlie,,,,"202 Drive, WA",,Female,Something here,No
315,David,,,,"789 Road, TX",,Male,Lorem ipsum,No
316,Alice,,,,"456 Avenue, CA",,Male,More text,No
317,Alice,,,,"101 Blvd, FL",,Male,Random data,Yes
318,Bob,,,,"123 Street, NY",,Female,Lorem ipsum,No
319,Grace,,,,,,,Something here,Yes
320,Grace,40,,,"303 Lane, CO",,Female,,No
321,Frank,,,,"101 Blvd, FL",,Male,,Yes
322,Bob,,,,"123 Street, NY",,,Lorem ipsum,No
323,Charlie,,,,"789 Road, TX",,Female,,No
324,Grace,,,,"202 Drive, WA",,Male,More text,No
325,David,,,,"101 Blvd, FL",,Female,Something here,No
326,Bob,,,,"456 Avenue, CA",,Female,Random data,No
327,Alice,,,,"101 Blvd, FL",,Male,More text,Yes
328,David,,,,"123 Street, NY",,Male,Lorem ipsum,No
329,David,,,,,,,,No
330,Alice,34,,,"123 Street, NY",,,Extra info,Yes
331,Bob,,,,"123 Street, NY",,,Lorem ipsum,No
332,Alice,,,,"202 Drive, WA",,Male,Random data,No
333,Frank,,,,"456 Avenue, CA",,Female,,Yes
334,David,,,,"456 Avenue, CA",,,Lorem ipsum,No
335,Eve,,,,"123 Street, NY",,Male,,Yes
336,Eve,,,,"456 Avenue, CA",,,Extra info,Yes
337,Charlie,,,,"456 Avenue, CA",,Male,Random data,Yes
338,Grace,,,,"789 Road, TX",,Female,Random data,No
339,Alice,,,,"303 Lane, CO",,Male,Lorem ipsum,Yes
340,Alice,,,,"456 Avenue, CA",,,More text,Yes
341,Charlie,,,,"303 Lane, CO",,Male,Random data,No
342,Charlie,,,,"123 Street, NY",,Female,Something here,No
343,Charlie,,,,"202 Drive, WA",,,Random data,Yes
344,David,,,,"303 Lane, CO",,,,No
345,Frank,,,,"789 Road, TX",,Female,Something here,No
346,Alice,,,,"456 Avenue, CA",,Male,More text,No
347,David,,,,"789 Road, TX",,Female,Extra info,Yes
348,Charlie,,,,"101 Blvd, FL",,Female,,No
349,Alice,,,,"789 Road, TX",,Female,Something here,No
350,David,,,,"303 Lane, CO",,Male,Something here,No
351,Frank,,,,,,,Extra info,Yes
352,David,,,,"789 Road, TX",,Female,Random data,No
353,Frank,,,,"789 Road, TX",,Male,Something here,Yes
354,Charlie,,,,"456 Avenue, CA",,,Something here,No
355,Frank,,,,"789 Road, TX",,Male,Extra info,No
356,Alice,,,,"303 Lane, CO",,Female,Random data,No
357,Charlie,,,,"202 Drive, WA",,Female,Lorem ipsum,Yes
358,Alice,,,,"456 Avenue, CA",,Male,,No
359,Eve,,,,"123 Street, NY",,Male,Something here,Yes
360,Bob,,,,"101 Blvd, FL",,Female,More text,No
361,Frank,,,,"123 Street, NY",,Male,Extra info,No
362,Bob,,,,"456 Avenue, CA",,Female,Something here,Yes
363,Bob,,,,"123 Street, NY",,Male,Random data,No
364,Frank,,,,"101 Blvd, FL",,,More text,Yes
365,Charlie,,,,"303 Lane, CO",,Male,Lorem ipsum,No
366,Eve,,,,"303 Lane, CO",,,More text,No
367,Alice,,,13,"789 Road, TX",,Male,,Yes
368,David,,,,"123 Street, NY",,Male,,Yes
369,Alice,,,,"303 Lane, CO",,,Something here,No
370,David,,,,"456 Avenue, CA",,Female,More text,No
371,Alice,,,,"202 Drive, WA",,,Lorem ipsum,No
372,Frank,,,,"101 Blvd, FL",,Male,Random data,Yes
373,Eve,,,,"123 Street, NY",,Female,Lorem ipsum,No
374,David,,,,"202 Drive, WA",,Female,,Yes
375,Grace,,,,"101 Blvd, FL",,Male,,No
376,Charlie,,,,"123 Street, NY",,,Lorem ipsum,No
377,Alice,,,,"456 Avenue, CA",,Female,Extra info,Yes
378,Alice,,,,"202 Drive, WA",,,Extra info,No
379,David,,,,"303 Lane, CO",,Female,,Yes
380,Charlie,,,,"202 Drive, WA",,Male,Lorem ipsum,No
381,Charlie,,80000,,,80000,Female,More text,Yes
382,Frank,,,,"123 Street, NY",,Male,More text,Yes
383,Grace,,70000,,"123 Street, NY",70000,Male,Lorem ipsum,Yes
384,Frank,,,,"456 Avenue, CA",,Male,More text,Yes
385,Frank,,,,"456 Avenue, CA",,Female,Random data,Yes
386,Frank,,,,,,,More text,No
387,Frank,,,,"789 Road, TX",,,More text,No
388,Frank,,,,"123 Street, NY",,Female,Lorem ipsum,Yes
389,Eve,,,,"456 Avenue, CA",,,More text,No
390,Charlie,,40000,,"123 Street, NY",40000,,More text,Yes
391,Frank,,,,"456 Avenue, CA",,,Extra info,No
392,Charlie,,,,"101 Blvd, FL",,Male,Extra info,Yes
393,Charlie,,,,"456 Avenue, CA",,Female,More text,Yes
394,Bob,,,,"456 Avenue, CA",,Female,More text,No
395,Eve,,,,"101 Blvd, FL",,Male,,No
396,Frank,,,,"101 Blvd, FL",,Female,Lorem ipsum,No
397,Alice,,,,"303 Lane, CO",,Male,Random data,No
398,David,,,,"789 Road, TX",,,Extra info,Yes
399,Grace,,,,"456 Avenue, CA",,Male,Something here,No
400,Alice,,,,"101 Blvd, FL",,Male,More text,Yes
401,Eve,,,,"789 Road, TX",,,Something here,No
402,David,,,,"789 Road, TX",,Female,Lorem ipsum,No
403,Eve,,,,"123 Street, NY",,,Something here,Yes
404,Charlie,,,,"101 Blvd, FL",,Male,Random data,No
405,David,,,,"202 Drive, WA",,Female,Random data,Yes
406,Charlie,,,,"101 Blvd, FL",,Male,,Yes
407,Alice,,,,,,Female,Lorem ipsum,No
408,Alice,,,,,,,Extra info,Yes
409,David,,,,"101 Blvd, FL",,Female,More text,No
410,David,,45000,,"789 Road, TX",45000,,Something here,No
411,Frank,,,,"303 Lane, CO",,Female,Lorem ipsum,Yes
412,Eve,,,,"101 Blvd, FL",,Male,Random data,Yes
413,Frank,,,,"101 Blvd, FL",,Female,,Yes
414,Eve,,,,"303 Lane, CO",,Female,Random data,Yes
415,Frank,,,,"789 Road, TX",,,Lorem ipsum,No
416,Charlie,,,,"789 Road, TX",,,Lorem ipsum,No
417,David,,,,,,Female,Lorem ipsum,No
418,Alice,,,,"123 Street, NY",,Male,Something here,No
419,Eve,,,,"123 Street, NY",,Female,Random data,Yes
420,Eve,,75000,,"101 Blvd, FL",75000,Female,Lorem ipsum,Yes
421,Alice,,,,"101 Blvd, FL",,Male,More text,No
422,Frank,,,,"303 Lane, CO",,,Lorem ipsum,No
423,Eve,,,,"456 Avenue, CA",,Female,Lorem ipsum,No
424,Grace,,,,"202 Drive, WA",,Female,Something here,Yes
425,Charlie,,,,"456 Avenue, CA",,Female,,No
426,David,,50000,,"456 Avenue, CA",50000,,Extra info,Yes
427,Alice,,,,"101 Blvd, FL",,Male,Random data,No
428,David,,55000,,"789 Road, TX",55000,Male,,Yes
429,Grace,,,,"789 Road, TX",,Male,Lorem ipsum,No
430,Eve,,,,"202 Drive, WA",,Female,Something here,Yes
431,Eve,,,,"789 Road, TX",,,Extra info,Yes
432,Grace,,,,"101 Blvd, FL",,Male,Extra info,No
433,Alice,,,,"303 Lane, CO",,Female,Extra info,Yes
434,Charlie,,,,"789 Road, TX",,Female,Lorem ipsum,No
435,Bob,,,,"303 Lane, CO",,Female,,Yes
436,Alice,,,,"123 Street, NY",,Male,Lorem ipsum,Yes
437,Bob,,,,,,,Something here,No
438,Grace,,45000,,"202 Drive, WA",45000,,Random data,Yes
439,Frank,,,,,,Female,Something here,No
440,Bob,,,,"789 Road, TX",,Female,Extra info,Yes
441,Charlie,,,,"789 Road, TX",,Female,,No
442,Frank,,,,"123 Street, NY",,Female,More text,Yes
443,Bob,,,,,,Female,Random data,Yes
444,Grace,,,,"456 Avenue, CA",,,Something here,Yes
445,Frank,,,,"101 Blvd, FL",,,Random data,Yes
446,Grace,,,,"789 Road, TX",,Male,More text,No
447,Bob,,,,,,Female,Extra info,No
448,Grace,,,,"303 Lane, CO",,,Something here,No
449,Charlie,,,,"123 Street, NY",,,Random data,Yes
450,Bob,,,,"123 Street, NY",,Male,Random data,No
451,Bob,,,,"456 Avenue, CA",,Male,Lorem ipsum,No
452,Bob,32,,,,,,Extra info,No
453,Alice,,,,"303 Lane, CO",,Male,,No
454,Alice,,,,"303 Lane, CO",,,Something here,No
455,Alice,,,,"789 Road, TX",,Male,Extra info,Yes
456,Charlie,,60000,,"456 Avenue, CA",60000,,,Yes
457,Frank,,,,"202 Drive, WA",,,Lorem ipsum,Yes
458,Grace,,,,"123 Street, NY",,,,No
459,Eve,,,,"101 Blvd, FL",,Female,More text,No
460,Bob,51,,,"123 Street, NY",,Female,,No
461,Grace,,,,"456 Avenue, CA",,,Extra info,No
462,Bob,,,,"101 Blvd, FL",,Male,Lorem ipsum,No
463,Charlie,,,,,,Female,More text,No
464,Bob,,,,"101 Blvd, FL",,Female,Extra info,No
465,Alice,,,,"123 Street, NY",,Female,More text,No
466,Eve,,,,"101 Blvd, FL",,Female,,No
467,David,,,,,,Male,Something here,Yes
468,Bob,,65000,,"789 Road, TX",65000,Male,Random data,No
469,Grace,,,,"123 Street, NY",,Female,,Yes
470,Alice,,,,"456 Avenue, CA",,Female,More text,No
471,David,,,,"202 Drive, WA",,Male,Random data,Yes
472,Eve,,,,"456 Avenue, CA",,Male,Something here,Yes
473,David,,,,"789 Road, TX",,Male,,No
474,Alice,,,,"202 Drive, WA",,,,No
475,Frank,,,,"202 Drive, WA",,Male,More text,No
476,Frank,,,,"303 Lane, CO",,Female,Random data,Yes
477,David,,,,"456 Avenue, CA",,Male,More text,No
478,Charlie,,,,,,Female,Lorem ipsum,No
479,Grace,,,,"123 Street, NY",,,More text,Yes
480,Grace,,,,"123 Street, NY",,Female,More text,Yes
481,David,,,,"202 Drive, WA",,Male,,Yes
482,Bob,,,,"456 Avenue, CA",,,Extra info,Yes
483,Bob,,,,"456 Avenue, CA",,,Extra info,Yes
484,Grace,,,,"123 Street, NY",,Male,Something here,Yes
485,Grace,,,,"303 Lane, CO",,,Something here,No
486,Frank,,,,"789 Road, TX",,Female,Something here,No
